,会社名,URL,仕事内容,対象者,勤務地,給与
16,株式会社ARS ,http://tenshoku.mynavi.jp/jobinfo-99934-1-4-1,★時間単位の有給取得OK ★時短勤務制度あり ◎自社パッケージの企画～導入・販売、受託業務系システム(オープン・Web系・組込系)の構築・設計・開発,★フルリモートあり★毎週土日祝休み ◎何らかのプログラミングorシステムエンジニアの経験・知識がある方(年数不問)  ◎高卒以上,◇◆UIターン歓迎／原則転勤無し◆◇ 【熊本】【鹿児島】【福岡】【東京】【沖縄】 5拠点のうち、ご…,"月給18万円～35万円 ＋ 残業代

※上記にプラス基本残業手当（100％支給）、
　各種諸手当を別途支給しま…"
17,株式会社テクノプロ　テクノプロ・デザイン社 ,http://tenshoku.mynavi.jp/jobinfo-290077-1-14-1,【約3ヵ月の特別研修からスタート】 自社内研修で基礎を固めてからエンジニアデビュー！！上流～下流まで幅広い工程に携われます！,【業界・職種未経験歓迎】エンジニアデビューしたい方★業界高水準の定着率93.5％★独学・スクールで勉強した方もOK,全国34都道府県+10カ所の開発センターにて勤務可能。 ※リモートワークが可能なプロジェクトもあり…,"月給20.5万円～ ＋ 賞与3回＋諸手当
想定年収：361万円～
※能力・経験・年齢等を考慮の上、当社規程に従…"
18,株式会社日本技研プロフェッショナルアーキテクト ,http://tenshoku.mynavi.jp/jobinfo-199405-1-54-1/msg,【まずは3ヶ月の自社内研修から！】■官公庁や金融系企業などのWebサイトのコーディング等をお任せ！◎有給取得率80%以上！◎9割が未経験スタート！,【定着率93%！学歴・性別不問】★WebやITの知識も一切不問♪かわいい動画、レシピサイトなど…今度は見る側から作る側に♪育休～復帰もバッチリ！,新宿本社または首都圏各事業所に配属。 ★配属先のプロジェクトにより、テレワーク可。 本社： 東京都…,"【未経験者】
月給230,294円～

【経験者】
月給30～60万円＋各種手当＋部下1人あたり手当2万円
※部下1…"
19,ラーニンギフト株式会社  ,http://tenshoku.mynavi.jp/jobinfo-257755-1-17-1/msg,システムエンジニアとして多彩な案件に携わっていきます。　※月平均6万円のプロジェクト手当あり,学歴不問　＜職種・業種未経験、第二新卒者、歓迎＞,全国47都道府県のプロジェクト先または本社（渋谷区） ◎勤務地は希望を考慮。転勤はありません。 ◎…,"【経験1年未満の方】
月給23万円～35万円
※IT業界にて何らかの実務経験1ヶ月以上の方
※何らかの言語で…"
20,株式会社Gizumo ,http://tenshoku.mynavi.jp/jobinfo-160957-1-18-1/msg,アプリ・ゲーム・SNSの開発等、多彩なプロジェクトの中からあなたに合った業務をお任せ！◎研修、交流会、社内共有アプリなどサポート充実 ◎土日祝休,【未経験OK/学歴不問/第二新卒歓迎】意欲・人柄重視採用♪「ITって何の略？」レベルの人もOK！◎平均年齢27.2歳の男女が活躍中！◎副業可,＜転勤なし！渋谷駅新南口から徒歩2分！＞ 本社／東京都渋谷区渋谷3-28-15渋谷S.野口Bldg…,"月給：21万2,944円～60万円

※当社規定により決定致します。
※上記にはみなし残業手当月20時間相当／2…"
21,株式会社SHIFT ,http://tenshoku.mynavi.jp/jobinfo-261825-1-41-1/msg,【充実研修】経理/財務/人事労務/在庫管理等の経験を武器にお客様の業務システムを最適な状態へサポート＜コンサルティング/検証/テスト/資料作成等＞,【未経験・第二新卒歓迎！】◎男女不問◎財務会計・管理会計・販売/物流管理・在庫/購買管理・生産管理などの事務経験を活かしてIT業界で活躍したい方,東京・大阪の各拠点 ※主要拠点は東京・大阪となりますが、部署の9割以上の社員が現在在宅勤務で就業し…,"■月給30万円～33万3,333円
・固定残業代はなく、1分単位で残業代を支給します
・一律手当5万5,000円を含…"
22,株式会社夢テクノロジー ,http://tenshoku.mynavi.jp/jobinfo-261505-1-99-1,【未経験入社8割！！】普段見ているWEBサイトやECサイトの開発に携われる！研修中に資格も取得でき、基礎の基礎から学べる環境なので安心♪,【★高卒以上★文系出身も多数活躍中！】新しいスタート大歓迎！★IT業界に興味のある方★キャリアチェンジしたい方◆文系出身や20代多数活躍中◆,＜各エリアにて採用中！＞ ※希望エリアを考慮 【在宅勤務実施中です】※配属先によって異なります。…,"◆月給22万円～（一律手当含む）
┗みなし残業手当10時間分含む（15,625円～）※超過分は別途支給

☆経…"
23,株式会社アカリエ ,http://tenshoku.mynavi.jp/jobinfo-161412-1-32-1/msg,【介護業界大手ツクイグループの一員】介護領域に関わる各種システムをはじめとした、さまざまなサービスの開発～運用までをお任せします。,【経験年数・言語・担当工程なども不問】未経験歓迎 ◆年間休日121日！　◆リフレッシュ休暇制度,★希望を考慮の上、配属PJを決定します ★転居を伴う転勤はありません 【横浜支社】 神奈川県横浜市…,"◆月給／25万円～30万円＋時間外手当
※上記はあくまでも想定給与額です。
　経験、能力などを考慮の上、…"
24,Modis株式会社 ,http://tenshoku.mynavi.jp/jobinfo-274497-1-39-1/msg,【経験が浅い方でもOK】ソフト開発、ネットワーク、サーバ分野における上流工程を担当,ネットワーク、サーバの運用保守または、ソフトウェア開発の実務経験が1年以上ある方,【関西・東海エリアでも積極採用中】 東京・名古屋・大阪の大都市、および関東・中部・近畿地域のプロジ…,"月給20万円～61万円+賞与年2回+一律手当

※待機中も基本給、各種手当に変動ありません。
※経験・スキル…"
25,株式会社ウォーターウィッシュ ,http://tenshoku.mynavi.jp/jobinfo-323382-1-2-1/msg,【専任講師の研修は5カ年計画】自社内研修→世界共通資格を取得しエンジニアデビュー→仲間と一緒にスキルアップ→市場価値の高いITエンジニアへ,【未経験率98.4％・定着率93.2％】◆未経験・第二新卒大歓迎 ◆「IT業界に興味がある」という気持ちだけでOK！ ◆採用基準は「友達になれそうな人」,【リモートワーク実施中/地方からの応募も歓迎◎】 本社または東京都・神奈川県・千葉県・埼玉県の各プ…,"月給207,000円～250,000円＋住宅/資格手当＋賞与年1回
◆半年毎に計6回100%自動昇給◆

※年齢やスキルを…"
26,フォーザウィン株式会社 ,http://tenshoku.mynavi.jp/jobinfo-156900-1-536-1/msg,新卒には無い社会人経験の強みを活かし、IT研修を通して未経験エンジニアとしての業務を始めて頂きます。,★未経験★第二新卒★既卒者歓迎★社会人経験をお持ちの方★IT業界に興味がある方★手に職をつけたい方★スキルアップしたい方,☆転勤なし！（現住所から勤務地を決定いたします） 東京本社・渋谷支店・大阪支店・名古屋支店・福岡支…,"経験者：月給25万円以上
未経験：月給23万～25万円

経験・能力等を考慮の上、当社規定により最大限優遇…"
27,株式会社ケアリッツ・テクノロジーズ ,http://tenshoku.mynavi.jp/jobinfo-317836-1-22-1,【年間250名を採用する成長企業！】エンジニア経験が浅くても、チームリーダーに挑戦したい方大歓迎！あなたの成長を当社が全力でサポートします！,【残業月10ｈ★完全土日祝休】何らかのアプリ・システム開発経験をお持ちの方 ※PJTマネジメントに挑戦したい意欲があればPL/PM経験のない方も歓迎！,【交通費全額支給】【転居を伴う転勤なし】【リモートワーク実施中です 】 ★東京都内、埼玉県、神奈川…,"■月給47万円～80万円＋諸手当＋賞与2回
※経験・能力・前職の給与を考慮して決定いたします
※試用期間3…"
28,株式会社ディ・アイ・システム ,http://tenshoku.mynavi.jp/jobinfo-127282-1-39-1,◎多彩な案件の中から適性に応じたプロジェクトへ！★研修充実《まずは…》専任講師がITの基礎からレクチャー＆同期と学べる研修からStart♪,《第二新卒/未経験歓迎》＼意欲最重視宣言！／「ITエンジニアになりたい」「いまを変えたい！」⇒その想いを重視した採用を行います★80%が未経験入社,【リモートワーク実施中です】※会社全体で約7割実施！ 勤務先：丸の内・大手町・恵比寿・新宿・品川・…,"月給21万円以上

※あくまでも最低保証金額です。
経験、能力等を考慮の上、優遇します。

＼充実の研修…"
29,株式会社夢テクノロジー ,http://tenshoku.mynavi.jp/jobinfo-261505-1-101-1,≪未経験スタート8割以上≫★最長3カ月の研修あり★多彩なITプロジェクトの中から、アナタの未来につながる業務に配属します。,≪未経験の方、フリーターの方、大歓迎！≫経験不問、高卒以上／コンビニバイトやアパレル店員、塾講師らさまざまな前職の先輩が活躍中！,＜各エリアにて採用中！＞ ※希望エリアを考慮 【在宅勤務実施中です】※配属先によって異なります。…,"◆月給22万円～（一律手当含む）
┗みなし残業手当10時間分含む（15,625円～）※超過分は別途支給

☆経…"
30,株式会社オーシーエム ,http://tenshoku.mynavi.jp/jobinfo-267933-1-5-1/msg,【直案件や大手SIerの案件中心／好待遇・好環境をご用意】アプリ、Web、インフラ、社内SEなど多彩なプロジェクトから、希望の案件・働き方を選べる！,【第二新卒歓迎！複数名採用！20～40代が活躍中】IT業界での何らかの業務経験（言語不問）*企業認定資格多数取得している安心環境で定着率◎手当充実,【転勤なし／リモート案件現状8割！／フレックス勤務可／UIターン歓迎】 ◆東京オフィス 東京都港区…,【前職給与保証】年俸制／420万円～※上記年俸の1／12（月額35万円以上＋在宅手当・評価手当・ロール手当…
31,株式会社GSI ,http://tenshoku.mynavi.jp/jobinfo-98190-1-32-1/msg,【最長4ヶ月の自社内研修で未経験でも安心スタート！】独自カリキュラムで基礎を固めてデビュー！上流～下流まで幅広い工程に携われます！,【未経験大歓迎！学歴不問】★28歳以下の方(※) ★プログラミングやITに興味があり、エンジニアデビューしたい方★資格取得率94.8％★残業月平均14.3H,★勤務地は札幌・東京・福岡・大阪・仙台が選べます！ ★全拠点積極採用中 ★100％転勤なし ★U・…,"〈月給〉
◆未経験者
東京 22万円～＋賞与年2回
大阪 21万円～＋賞与年2回
札幌・福岡・仙台 20万円～＋…"
32,株式会社テクノプロ ,http://tenshoku.mynavi.jp/jobinfo-164102-1-69-1,＜生涯研究者／第二新卒歓迎＞化学、医薬品、食品飲料、化粧品、素材または、学術研究機関などの領域における品質管理業務を担当 ★年間休日122日,<正社員/年収UPを叶えた社員も>大卒/高専卒/専門卒かつ研究経験1年以上ある方、もしくは理系大学修士課程修了以上(実務未経験歓迎)の方,□全国各地の研究所(プロジェクト先／企業・大学・公的機関など) □当社リサーチセンター【受託研究(…,"月給20万円以上＋賞与年2回＋各種手当
※経験・年齢・スキルなどを考慮のうえ、決定いたします。

＜評価…"
33,株式会社ディ・アイ・システム ,http://tenshoku.mynavi.jp/jobinfo-127282-1-40-1,◎多彩な案件の中から適性に応じたプロジェクトへ！★研修充実《まずは…》専任講師がITの基礎からレクチャー＆同期と学べる研修からStart♪,《第二新卒/未経験歓迎》◆35歳以下の方　「ITエンジニアになりたい」「いまを変えたい！」⇒その想いを重視した採用を行います★80%が未経験入社,★大阪積極採用中★ ※U・Iターン歓迎！ 基本的に転勤はありません。 勤務先：難波・梅田・十三・大…,"月給21万円以上

※あくまでも最低保証金額です。
経験、能力等を考慮の上、優遇します。

＼充実の研修…"
34,CLINKS株式会社 ,http://tenshoku.mynavi.jp/jobinfo-271461-1-19-1,【入社後は約1ヶ月間の研修で0から成長】あなたの適性や希望に合わせたシステム開発業務をお任せします★リモートワーク&フルリモートOK★土日祝休み,＼20代活躍中／★学歴不問 ★完全未経験＆知識ゼロの方も大歓迎！◎正社員経験のない方や社会人デビューの方も歓迎します！★副業OK ★退職金制度あり,★転勤なし ★家具付き社員寮 ★U・Iターン歓迎 ★希望を考慮のうえ、〈首都圏・関西の各クライアン…,"〈月給〉21万円以上＋賞与＋諸手当（残業代は別途全額支給！）

※経験・能力を最大限に考慮のうえ決定し…"
